yield,current,total,roa,class
4.46,341.13 ,3.89,6.17,1
1.63,210.84 ,3.91,3.88,0
2.77,89.77 ,3.94,5.22,1
4.5,620.09 ,3.95,2.93,1
4.6,437.23 ,3.96,5.08,1
0,176.29 ,3.97,1.8,0
6.45,124.45 ,3.98,2.83,1
3.75,192.26 ,3.98,1.1,1
1.46,270.60 ,3.99,1.21,0
4.89,318.30 ,3.99,10.49,1
2.84,132.34 ,4.01,10,1
2.62,215.19 ,4.03,3.98,1
1.67,165.45 ,4.04,2.93,0
6.37,41.22 ,4.06,1.33,1
2.73,178.04 ,4.08,5.21,1
2.82,447.26 ,4.1,9.96,1
3.08,153.48 ,4.11,3.34,1
6.09,111.37 ,4.13,4.37,1
5.17,212.88 ,4.16,5.73,1
6.35,82.34 ,4.2,3.82,1
0,81.26 ,4.23,-4.16,0
3.97,256.27 ,4.23,7.04,1
1.7,211.43 ,4.28,2.41,0
2.77,134.77 ,4.29,8.57,1
3.83,144.88 ,4.33,3.66,1
2.78,332.37 ,4.36,4.72,1
4.08,100.96 ,4.38,1.1,1
4.78,159.28 ,4.39,3.07,1
6.06,184.76 ,4.39,4.27,1
0.82,362.94 ,4.39,2.16,0
0.9,121.89 ,4.4,0.63,0
2.26,311.37 ,4.42,0.75,1
3.85,337.27 ,4.43,3.31,1
5.43,223.75 ,4.45,5.69,1
3.29,177.29 ,4.47,5.83,1
2.91,328.67 ,4.51,5.84,1
4.18,181.30 ,4.52,5.06,1
5.87,156.22 ,4.55,2.76,1
1.27,126.72 ,4.58,1.71,0
3.69,285.65 ,4.63,3.87,1
2.9,128.22 ,4.66,2.24,1
0,114.76 ,4.67,2.82,0
0,307.85 ,4.68,3.23,0
5.47,279.61 ,4.72,7.44,1
4.03,108.73 ,4.74,2.69,1
4.31,137.54 ,4.75,4.87,1
4.15,270.15 ,4.76,5.68,1
3.25,203.69 ,4.78,3.77,1
3.67,81.41 ,4.79,9.93,1
4.54,246.60 ,4.79,5.15,1
5.62,285.40 ,4.86,12.91,1
3.64,216.28 ,4.94,9.83,1
2.83,146.24 ,4.96,3.32,1
0,447.67 ,4.97,8.23,0
1.24,4899.00 ,4.97,5.86,0
2.54,160.71 ,5,2.97,1
2.71,869.89 ,5.03,4.62,1
3.74,137.72 ,5.06,5.59,1
1.75,121.12 ,5.11,1.24,1
2.52,222.24 ,5.14,5.22,1
2.09,318.63 ,5.15,3.84,1
2.95,62.09 ,5.18,4.76,1
3.65,190.43 ,5.18,1.32,1
1.79,92.98 ,5.19,5.65,1
4.5,284.93 ,5.21,4.02,1
0,575.23 ,5.21,2.99,0
1.2,1100.14 ,5.25,0.45,0
2.56,477.26 ,5.26,4.27,1
5.26,194.01 ,5.27,7.2,1
4.58,251.96 ,5.29,6.11,1
2.82,187.73 ,5.3,2.11,1
0,185.42 ,5.32,0.75,0
0,85.67 ,5.41,1.99,0
2.52,160.64 ,5.43,3.28,1
0,192.14 ,5.44,2.68,0
1.98,481.51 ,5.45,4.29,1
3.95,98.98 ,5.46,5.29,1
0,121.23 ,5.52,-20.15,0
5.72,147.37 ,5.53,6.57,1
5.63,157.61 ,5.54,6.97,1
1.51,114.16 ,5.57,-0.06,0
2.55,160.13 ,5.58,3.48,1
0,866.16 ,5.58,1.13,0
4.26,170.83 ,5.61,8.51,1
3.9,189.97 ,5.63,9.44,1
3.15,315.17 ,5.66,2.48,1
0,355.20 ,5.69,1.47,0
1.74,138.89 ,5.73,0.02,1
2.43,216.46 ,5.73,3.74,1
3.53,158.76 ,5.75,6.17,1
2.36,254.41 ,5.77,8.81,1
2.23,143.95 ,5.78,3.13,1
3.64,153.23 ,5.85,5.26,1
4.35,164.64 ,5.87,1.58,1
0.85,174.95 ,5.9,7.5,0
1.12,190.74 ,5.9,2.79,0
2.82,217.60 ,5.97,3.34,1
0.53,134.26 ,6,3.08,0
1.03,163.98 ,6,2.91,0
1.82,141.16 ,6.01,4.1,1
2.69,192.15 ,6.02,5.4,1
1.81,330.70 ,6.02,5.32,1
2.53,213.40 ,6.08,1.53,1
4.22,284.65 ,6.09,8.48,1
5.39,165.81 ,6.1,5.85,1
3.58,198.77 ,6.13,4.89,1
2.73,193.17 ,6.15,4.96,1
4.17,149.24 ,6.18,5.64,1
3.09,387.50 ,6.19,2.31,1
0,94.45 ,6.21,1.66,0
0,158.95 ,6.23,-1.96,0
3.91,347.78 ,6.23,5.41,1
4.3,159.57 ,6.24,8.53,1
3.66,260.23 ,6.25,5.84,1
4.29,315.57 ,6.29,5.6,1
1.93,524.34 ,6.31,4.5,1
3.94,173.11 ,6.32,4.65,1
1.79,206.81 ,6.33,-2.27,1
1.19,157.03 ,6.35,4.44,0
1.8,54.59 ,6.36,1.38,1
3.76,224.74 ,6.36,4.85,1
2.15,250.79 ,6.4,4.19,1
2.05,953.87 ,6.41,5.64,1
4.49,202.50 ,6.45,8.17,1
2.58,404.55 ,6.48,5.09,1
4.69,261.68 ,6.52,3.71,1
4.04,153.98 ,6.53,6.61,1
0.75,182.96 ,6.53,2.63,0
2.67,239.25 ,6.53,8.27,1
4.69,147.35 ,6.54,1.43,1
4.1,152.44 ,6.57,3.18,1
3.69,92.81 ,6.59,3.42,1
4.45,108.98 ,6.59,5.49,1
4.2,134.02 ,6.64,1.95,1
4.5,151.53 ,6.65,3.48,1
2.61,162.25 ,6.67,3.95,1
1.78,1303.85 ,6.7,5.49,1
4.29,372.76 ,6.78,5.26,1
0.96,145.10 ,6.79,0.93,0
4.98,422.15 ,6.81,7.13,1
3.14,205.84 ,6.86,6.57,1
1.15,249.17 ,6.86,2.2,0
5.05,269.62 ,6.89,5.2,1
1.86,195.68 ,6.9,3.65,1
4.66,185.94 ,6.92,10.24,1
4.87,349.96 ,6.92,6.47,1
1.38,203.49 ,6.93,0.44,0
1.91,61.96 ,6.94,1.34,1
0,134.92 ,6.95,1.64,0
1.82,754.50 ,6.96,4.3,1
3.27,136.67 ,6.97,1.2,1
3.7,160.44 ,6.99,6.63,1
3,255.12 ,7.04,4.1,1
0,124.84 ,7.06,0.87,0
3.42,106.38 ,7.09,3.84,1
4.55,197.09 ,7.11,3.66,1
1.08,162.92 ,7.12,1.24,0
0,146.26 ,7.14,5.96,0
2.55,199.18 ,7.14,10.94,1
4.36,115.81 ,7.15,1.59,1
3.12,117.88 ,7.16,5.28,1
4.65,206.21 ,7.17,2.92,1
0,151.98 ,7.19,0.95,0
0,287.76 ,7.21,1.89,0
5.48,184.86 ,7.23,10.34,1
4.26,183.68 ,7.26,3.48,1
2.1,280.98 ,7.26,3.32,1
0,1647.76 ,7.3,-6.8,0
3.8,132.03 ,7.32,5.11,1
4.33,187.75 ,7.32,9.48,1
2.55,257.96 ,7.32,3.91,1
3.21,1162.99 ,7.33,6.35,1
3.85,93.93 ,7.35,4.31,1
3.03,123.07 ,7.35,4.72,1
5.29,479.55 ,7.44,7.16,1
1.7,224.26 ,7.45,-1.16,0
3.65,119.38 ,7.49,0.9,1
3.59,197.62 ,7.51,7.52,1
3.74,420.89 ,7.52,6.32,1
1.82,106.90 ,7.53,4.03,1
2.62,104.63 ,7.57,4.41,1
4.72,106.60 ,7.58,3.24,1
1.99,149.98 ,7.58,1.98,1
1.96,181.16 ,7.58,3.62,1
3.46,358.96 ,7.58,7.44,1
1.96,178.43 ,7.66,5.69,1
1.15,180.35 ,7.67,3.73,0
3.74,138.18 ,7.72,5,1
3.07,234.33 ,7.76,2.54,1
6.32,123.79 ,7.77,-0.03,1
2.08,164.51 ,7.83,8.02,1
0,114.01 ,7.84,-1.35,0
3.53,160.23 ,7.85,1.87,1
1.74,157.26 ,7.86,4.32,1
6.6,112.95 ,7.9,4.29,1
3.21,84.39 ,7.99,3.59,1
6.9,257.90 ,7.99,4.07,1
0,101.07 ,8.02,1.03,0
5.38,412.21 ,8.1,5.01,1
2.37,87.32 ,8.11,-0.24,1
5.93,223.90 ,8.18,4.58,1
0,168.98 ,8.19,-0.07,0
3.83,99.67 ,8.22,2.37,1
4.31,127.02 ,8.22,5.3,1
3.66,113.98 ,8.3,2.38,1
0.88,132.42 ,8.31,3.04,0
4.44,305.76 ,8.31,7.73,1
0,2420.71 ,8.31,-1.31,0
2.87,73.17 ,8.33,0.28,1
1.27,214.37 ,8.36,-1.3,0
2.94,216.28 ,8.39,2.54,1
2.59,190.21 ,8.5,4.4,1
5.71,198.52 ,8.5,6.57,1
